Brand,Country,Revenue (M€),Units Sold (k),Heat Pump Share %,Gas Boiler Share %,Hybrid Share %,Service Revenue %,YoY Growth %,Operating Margin %
Vaillant,DE,980,420,38,46,16,18,7.2,11.4
Vaillant,UK,410,190,22,62,16,14,4.1,8.8
Vaillant,NL,280,115,46,38,16,16,9.8,12.1
Vaillant,AT,190,78,42,42,16,17,6.4,11.7
Vaillant,CH,140,52,48,36,16,19,7.9,13.2
Vaillant,BE,160,66,34,50,16,15,5.6,10.3
Vaillant,IT,220,94,30,54,16,13,5.1,9.7
Saunier Duval,FR,430,210,28,58,14,12,3.4,8.9
Saunier Duval,ES,240,112,30,56,14,11,4.6,9.4
Saunier Duval,PT,110,52,26,60,14,10,3.8,8.2
AWB,NL,140,62,42,42,16,12,8.1,10.6
Bulex,BE,90,41,32,52,16,11,4.9,9.2
Glow-worm,UK,180,96,18,68,14,9,2.1,7.4
Hermann Saunier Duval,IT,130,58,24,62,14,10,3.6,8.6
protherm,CZ,80,44,18,68,14,8,3.1,8.0
protherm,PL,110,62,16,70,14,9,4.2,8.7
DemirDöküm,TR,200,130,12,74,14,9,6.8,9.3
