Document_Number,Line_Item,Company_Code,Fiscal_Year,Posting_Month,Posting_Date,Document_Date,SAP_GL_Account,SAP_Account_Name,SAP_Cost_Center,Property_ID,Vendor,Customer_or_Tenant,Document_Type,Journal_Source,Debit_Credit,Amount_Local,Signed_Amount,Currency,Text,Close_Risk_Flag,Created_By
5100000001,1,3000,2026,2026-01,2026-01-04,2025-12-27,400200,Service charge income,CC-06-APA,P-011,,Anchor Tenant,AA,SAP RE-FX,H,247237.97,247237.97,GBP,Lease adjustment,,SAP_BATCH
5100000002,2,3000,2026,2026-01,2026-01-26,2026-01-20,400200,Service charge income,CC-06-APA,P-011,,Retail Tenant,WE,Payroll Upload,H,277876.73,277876.73,GBP,Quarterly allocation,,JSMITH
5100000003,3,3000,2026,2026-01,2026-01-13,2026-01-05,400200,Service charge income,CC-06-APA,P-011,,Tenant B,WE,SAP FI,H,271270.43,271270.43,GBP,Lease adjustment,,LCHEN
5100000004,4,3000,2026,2026-01,2026-01-16,2026-01-16,400200,Service charge income,CC-06-APA,P-011,,Tenant A,WE,AP Invoice,H,290564.68,290564.68,GBP,Lease adjustment,,SAP_BATCH
5100000005,5,3000,2026,2026-01,2026-01-22,2026-01-19,400200,Service charge income,CC-06-APA,P-011,,Tenant C,SA,Accrual Engine,H,315489.64,315489.64,GBP,Lease adjustment,,JSMITH
5100000006,1,1200,2026,2026-02,2026-03-04,2026-03-01,512000,Security services,CC-05-UK,P-039,LegalTrust LLP,,FX,AP Invoice,S,31578.78,-31578.78,EUR,Lease adjustment,Late posting,MBECKER
5100000007,1,5000,2026,2026-03,2026-04-01,2026-03-25,520000,Insurance,CC-08-DAC,P-019,LeaseOps Services,,KR,SAP FI,S,57725.72,-57725.72,SGD,Vendor invoice,Late posting,CONTROLLING
5100000008,2,5000,2026,2026-03,2026-03-16,2026-03-06,520000,Insurance,CC-08-DAC,P-019,LeaseOps Services,,AA,SAP FI,S,58316.61,-58316.61,SGD,Vendor invoice,,CONTROLLING
5100000009,3,5000,2026,2026-03,2026-03-07,2026-03-02,520000,Insurance,CC-08-DAC,P-019,LeaseOps Services,,FX,SAP FI,S,67101.51,-67101.51,SGD,Vendor invoice,,LCHEN
5100000010,4,5000,2026,2026-03,2026-03-04,2026-02-26,520000,Insurance,CC-08-DAC,P-019,NorthBuild Contractors,,SA,Depreciation Run,S,57095.24,-57095.24,SGD,Vendor invoice,,SAP_BATCH
5100000011,1,1000,2026,2026-01,2026-01-02,2025-12-24,710000,FX gain loss,CC-06-AME,P-009,UrbanClean GmbH,,AA,Depreciation Run,S,9587.6,-9587.6,EUR,Utility true-up,,MBECKER
5100000012,2,1000,2026,2026-01,2026-01-05,2026-01-05,710000,FX gain loss,CC-06-AME,P-009,SecureWorks Facilities,,RE,Manual Journal,S,11819.74,-11819.74,EUR,Lease adjustment,,JSMITH
5100000013,3,1000,2026,2026-01,2026-01-15,2026-01-10,710000,FX gain loss,CC-06-AME,P-009,TaxAdvisors Global,,SA,SAP RE-FX,S,10742.43,-10742.43,EUR,Lease adjustment,,CONTROLLING
5100000014,1,1000,2026,2026-03,2026-03-18,2026-03-09,512000,Security services,CC-08-APA,P-040,CloudSuite SE,,RE,SAP FI,S,19325.47,-19325.47,EUR,Late invoice capture,,AP_BOT
5100000015,2,1000,2026,2026-03,2026-03-24,2026-03-18,512000,Security services,CC-08-APA,P-040,NorthBuild Contractors,,WE,Manual Journal,S,20604.88,-20604.88,EUR,Manual reclass,,AP_BOT
5100000016,3,1000,2026,2026-03,2026-03-04,2026-02-23,512000,Security services,CC-08-APA,P-040,SecureWorks Facilities,,KR,SAP CO Allocation,S,24746.19,-24746.19,EUR,Vendor invoice,,JSMITH
5100000017,4,1000,2026,2026-03,2026-03-29,2026-03-25,512000,Security services,CC-08-APA,P-040,LegalTrust LLP,,KR,Manual Journal,S,15858.12,-15858.12,EUR,Late invoice capture,,LCHEN
5100000018,5,1000,2026,2026-03,2026-03-01,2026-02-26,512000,Security services,CC-08-APA,P-040,WaterWorks City,,FX,Accrual Engine,S,26241.72,-26241.72,EUR,Quarterly allocation,,AP_BOT
5100000019,1,1000,2026,2026-05,2026-05-26,2026-05-22,800000,Income tax expense,CC-03-APA,P-032,LeaseOps Services,,KR,SAP CO Allocation,S,6795.72,-6795.72,EUR,Quarterly allocation,,CONTROLLING
5100000020,2,1000,2026,2026-05,2026-05-18,2026-05-15,800000,Income tax expense,CC-03-APA,P-032,NorthBuild Contractors,,RE,SAP CO Allocation,S,8218.2,-8218.2,EUR,Monthly posting,,LCHEN
5100000021,3,1000,2026,2026-05,2026-05-19,2026-05-12,800000,Income tax expense,CC-03-APA,P-032,CloudSuite SE,,AA,AP Invoice,S,8564.89,-8564.89,EUR,Manual reclass,,MBECKER
5100000022,4,1000,2026,2026-05,2026-05-01,2026-04-30,800000,Income tax expense,CC-03-APA,P-032,UrbanClean GmbH,,RE,SAP RE-FX,S,8754.56,-8754.56,EUR,Utility true-up,,JSMITH
5100000023,5,1000,2026,2026-05,2026-05-12,2026-05-07,800000,Income tax expense,CC-03-APA,P-032,NorthBuild Contractors,,RE,Accrual Engine,S,8382.3,-8382.3,EUR,Quarterly allocation,,MBECKER
5100000024,1,1200,2026,2026-05,2026-05-15,2026-05-05,560000,Travel and meetings,CC-04-UK,P-071,RentAdjust Consulting,,WE,SAP CO Allocation,S,192750.85,-192750.85,EUR,Lease adjustment,,CONTROLLING
5100000025,1,3000,2026,2026-02,2026-03-07,2026-03-06,590000,Other operating expense,CC-05-DAC,P-007,SecureWorks Facilities,,SA,AP Invoice,S,10287.31,-10287.31,GBP,Monthly posting,Late posting,LCHEN
5100000026,2,3000,2026,2026-02,2026-02-23,2026-02-13,590000,Other operating expense,CC-05-DAC,P-007,LiftPro Services,,WE,SAP FI,S,10281.94,-10281.94,GBP,Monthly posting,,SAP_BATCH
5100000027,3,3000,2026,2026-02,2026-02-06,2026-01-28,590000,Other operating expense,CC-05-DAC,P-007,LegalTrust LLP,,SA,SAP RE-FX,S,11341.91,-11341.91,GBP,Lease adjustment,,CONTROLLING
5100000028,4,3000,2026,2026-02,2026-02-11,2026-02-08,590000,Other operating expense,CC-05-DAC,P-007,LeaseOps Services,,WE,AP Invoice,S,10599.24,-10599.24,GBP,Vendor invoice,,LCHEN
5100000029,5,3000,2026,2026-02,2026-03-03,2026-02-28,590000,Other operating expense,CC-05-DAC,P-007,WaterWorks City,,SA,SAP FI,S,10240.49,-10240.49,GBP,Lease adjustment,Late posting,AP_BOT
5100000030,1,5000,2026,2026-01,2026-01-30,2026-01-26,510000,Repairs and maintenance,CC-01-WES,P-068,LiftPro Services,,KR,AP Invoice,S,27881.46,-27881.46,SGD,Quarterly allocation,,JSMITH
5100000031,2,5000,2026,2026-01,2026-01-04,2025-12-28,510000,Repairs and maintenance,CC-01-WES,P-068,UrbanClean GmbH,,FX,SAP FI,S,24372.43,-24372.43,SGD,Vendor invoice,,AP_BOT
5100000032,3,5000,2026,2026-01,2026-01-06,2025-12-29,510000,Repairs and maintenance,CC-01-WES,P-068,NorthBuild Contractors,,RE,SAP FI,S,24436.82,-24436.82,SGD,Utility true-up,,SAP_BATCH
5100000033,1,5000,2026,2026-04,2026-04-07,2026-04-02,410000,Other operating income,CC-08-AME,P-067,,Tenant C,AB,SAP CO Allocation,H,162618.82,162618.82,SGD,Vendor invoice,,AP_BOT
5100000034,2,5000,2026,2026-04,2026-04-21,2026-04-15,410000,Other operating income,CC-08-AME,P-067,,Tenant C,SA,Accrual Engine,H,182987.42,182987.42,SGD,Lease adjustment,,MBECKER
5100000035,3,5000,2026,2026-04,2026-04-11,2026-04-11,410000,Other operating income,CC-08-AME,P-067,,Tenant C,WE,AP Invoice,H,158020.29,158020.29,SGD,Monthly posting,,AP_BOT
5100000036,4,5000,2026,2026-04,2026-05-01,2026-04-21,410000,Other operating income,CC-08-AME,P-067,,Tenant B,SA,Depreciation Run,H,197947.39,197947.39,SGD,Late invoice capture,Late posting,CONTROLLING
5100000037,5,5000,2026,2026-04,2026-04-04,2026-03-26,410000,Other operating income,CC-08-AME,P-067,,Anchor Tenant,RE,AP Invoice,H,189947.29,189947.29,SGD,Quarterly allocation,,LCHEN
5100000038,1,1100,2026,2026-02,2026-02-22,2026-02-15,410000,Other operating income,CC-10-WES,P-058,,Tenant A,AA,SAP FI,H,80387.65,80387.65,EUR,Monthly posting,,MBECKER
5100000039,2,1100,2026,2026-02,2026-02-02,2026-01-28,410000,Other operating income,CC-10-WES,P-058,,Retail Tenant,SA,AP Invoice,H,75814.69,75814.69,EUR,Utility true-up,,SAP_BATCH
5100000040,1,4000,2026,2026-05,2026-05-19,2026-05-09,400100,Rental income,CC-10-AME,P-042,,Tenant A,WE,SAP FI,H,295387.48,295387.48,USD,Quarterly allocation,,CONTROLLING
5100000041,2,4000,2026,2026-05,2026-05-24,2026-05-19,400100,Rental income,CC-10-AME,P-042,,Tenant C,KR,Depreciation Run,H,398369.47,398369.47,USD,Monthly posting,,MBECKER
5100000042,3,4000,2026,2026-05,2026-05-21,2026-05-13,400100,Rental income,CC-10-AME,P-042,,Tenant A,FX,SAP RE-FX,H,303878.07,303878.07,USD,Manual reclass,,CONTROLLING
5100000043,4,4000,2026,2026-05,2026-06-02,2026-05-31,400100,Rental income,CC-10-AME,P-042,,Anchor Tenant,FX,Accrual Engine,H,291299.55,291299.55,USD,Utility true-up,Late posting,LCHEN
