Region,Technicians,Service Tickets,First-Time-Fix %,Avg Response Time (h),Customer NPS,Heat Pump Share %,Revenue (k€),Cost (k€)
DE-North,42,3120,78.4,5.1,41,34,1980,1420
DE-West,58,4310,81.0,4.6,47,38,2840,1990
DE-South,64,4890,83.2,4.2,52,41,3210,2210
DE-East,31,2150,74.8,5.9,36,29,1280,980
NL,24,1820,79.5,4.8,44,46,990,720
BE,18,1290,76.2,5.3,39,37,710,540
AT,22,1640,82.0,4.5,49,42,920,650
CH,15,1080,84.6,4.1,55,48,780,520
FR-North,36,2540,72.1,6.4,33,25,1410,1080
UK,28,2010,70.5,6.8,31,21,1180,960
IT,19,1320,75.0,5.7,38,30,790,610
ES,16,1100,77.3,5.2,42,28,680,490
