Category,Line_Item,Jan_2026,Feb_2026,Mar_2026,Q1_2026,Apr_2026,May_2026,Jun_2026,Q2_2026,H1_2026,Jul_2026,Aug_2026,Sep_2026,Q3_2026,Oct_2026,Nov_2026,Dec_2026,Q4_2026,H2_2026,FY_2026
REVENUE,New ARR - Americas,320000,335000,345000,1000000,340000,365000,395000,1100000,2100000,380000,420000,450000,1250000,470000,480000,570000,1520000,2770000,4870000
REVENUE,New ARR - EMEA,220000,230000,238000,688000,232000,250000,275000,757000,1445000,265000,295000,315000,875000,325000,335000,400000,1060000,1935000,3380000
REVENUE,New ARR - APAC,100000,105000,107000,312000,108000,115000,120000,343000,655000,115000,125000,135000,375000,145000,145000,170000,460000,835000,1490000
REVENUE,New ARR - Total,640000,670000,690000,2000000,680000,730000,790000,2200000,4200000,760000,840000,900000,2500000,940000,960000,1140000,3040000,5540000,9740000
REVENUE,Expansion ARR - Net,380000,400000,420000,1200000,420000,460000,480000,1360000,2560000,460000,500000,560000,1520000,580000,600000,700000,1880000,3400000,5960000
REVENUE,Professional Services,260000,270000,290000,820000,260000,270000,310000,840000,1660000,280000,340000,340000,960000,280000,240000,260000,780000,1740000,3400000
REVENUE,Total Revenue,1280000,1340000,1400000,4020000,1360000,1460000,1580000,4400000,8420000,1500000,1680000,1800000,4980000,1800000,1800000,2100000,5700000,10680000,19100000
COGS,Infrastructure & Hosting,153600,160800,168000,482400,163200,175200,189600,528000,1010400,180000,201600,216000,597600,216000,216000,252000,684000,1281600,2292000
COGS,Customer Support Operations,115200,120600,126000,361800,122400,131400,142200,396000,757800,135000,151200,162000,448200,162000,162000,189000,513000,961200,1719000
COGS,Professional Services Delivery,208000,216000,232000,656000,208000,216000,248000,672000,1328000,224000,272000,272000,768000,224000,192000,208000,624000,1392000,2720000
COGS,Total COGS,476800,497400,526000,1500200,493600,522600,579800,1596000,3096200,539000,624800,650000,1813800,602000,570000,649000,1821000,3634800,6731000
COGS,Gross Profit,803200,842600,874000,2519800,866400,937400,1000200,2804000,5323800,961000,1055200,1150000,3166200,1198000,1230000,1451000,3879000,7045200,12369000
COGS,Gross Margin %,62.8%,62.9%,62.4%,62.7%,63.7%,64.2%,63.3%,63.7%,63.2%,64.1%,62.8%,63.9%,63.6%,66.6%,68.3%,69.1%,68.1%,66.0%,64.7%
OPEX,Sales & Marketing,448000,469000,490000,1407000,476000,511000,553000,1540000,2947000,525000,588000,630000,1743000,630000,630000,735000,1995000,3738000,6685000
OPEX,Research & Development,281600,294800,308000,884400,299200,321200,347600,968000,1852400,330000,369600,396000,1095600,396000,396000,462000,1254000,2349600,4202000
OPEX,General & Administrative,102400,107200,112000,321600,108800,116800,126400,352000,673600,120000,134400,144000,398400,144000,144000,168000,456000,854400,1528000
OPEX,Total Operating Expenses,832000,871000,910000,2613000,884000,949000,1027000,2860000,5473000,975000,1092000,1170000,3237000,1170000,1170000,1365000,3705000,6942000,12415000
EBITDA,EBITDA,-28800,-28400,-36000,-93200,-17600,-11600,-26800,-56000,-149200,-14000,-36800,-20000,-70800,28000,60000,86000,174000,103200,-46000
EBITDA,EBITDA Margin %,-2.3%,-2.1%,-2.6%,-2.3%,-1.3%,-0.8%,-1.7%,-1.3%,-1.8%,-0.9%,-2.2%,-1.1%,-1.4%,1.6%,3.3%,4.1%,3.1%,1.0%,-0.2%
