Category,Line_Item,Jan_2026_Budget,Jan_2026_Actual,Jan_Var_$,Jan_Var_%,Feb_2026_Budget,Feb_2026_Actual,Feb_Var_$,Feb_Var_%,Mar_2026_Budget,Mar_2026_Actual,Mar_Var_$,Mar_Var_%,Q1_2026_Budget,Q1_2026_Actual,Q1_Var_$,Q1_Var_%,Apr_2026_Budget,Apr_2026_Actual,Apr_Var_$,Apr_Var_%,May_2026_Budget,May_2026_Actual,May_Var_$,May_Var_%,Jun_2026_Budget,Jun_2026_Actual,Jun_Var_$,Jun_Var_%,Q2_2026_Budget,Q2_2026_Actual,Q2_Var_$,Q2_Var_%,H1_2026_Budget,H1_2026_Actual,H1_Var_$,H1_Var_%
REVENUE,New ARR - Americas,320000,308000,-12000,-3.8%,335000,322000,-13000,-3.9%,345000,310000,-35000,-10.1%,1000000,940000,-60000,-6.0%,340000,298000,-42000,-12.4%,365000,291000,-74000,-20.3%,395000,322000,-73000,-18.5%,1100000,911000,-189000,-17.2%,2100000,1851000,-249000,-11.9%
REVENUE,New ARR - EMEA,220000,218000,-2000,-0.9%,230000,227000,-3000,-1.3%,238000,229000,-9000,-3.8%,688000,674000,-14000,-2.0%,232000,201000,-31000,-13.4%,250000,204000,-46000,-18.4%,275000,225000,-50000,-18.2%,757000,630000,-127000,-16.8%,1445000,1304000,-141000,-9.8%
REVENUE,New ARR - APAC,100000,104000,4000,4.0%,105000,108000,3000,2.9%,107000,105000,-2000,-1.9%,312000,317000,5000,1.6%,108000,95000,-13000,-12.0%,115000,94000,-21000,-18.3%,120000,97000,-23000,-19.2%,343000,286000,-57000,-16.6%,655000,603000,-52000,-7.9%
REVENUE,New ARR - Total,640000,630000,-10000,-1.6%,670000,657000,-13000,-1.9%,690000,644000,-46000,-6.7%,2000000,1931000,-69000,-3.5%,680000,594000,-86000,-12.6%,730000,589000,-141000,-19.3%,790000,644000,-146000,-18.5%,2200000,1827000,-373000,-16.9%,4200000,3758000,-442000,-10.5%
REVENUE,Expansion ARR - Net,380000,392000,12000,3.2%,400000,411000,11000,2.8%,420000,415000,-5000,-1.2%,1200000,1218000,18000,1.5%,420000,406000,-14000,-3.3%,460000,422000,-38000,-8.3%,480000,428000,-52000,-10.8%,1360000,1256000,-104000,-7.6%,2560000,2474000,-86000,-3.4%
REVENUE,Professional Services,260000,245000,-15000,-5.8%,270000,261000,-9000,-3.3%,290000,272000,-18000,-6.2%,820000,778000,-42000,-5.1%,260000,234000,-26000,-10.0%,270000,229000,-41000,-15.2%,310000,261000,-49000,-15.8%,840000,724000,-116000,-13.8%,1660000,1502000,-158000,-9.5%
REVENUE,Total Revenue,1280000,1267000,-13000,-1.0%,1340000,1329000,-11000,-0.8%,1400000,1331000,-69000,-4.9%,4020000,3927000,-93000,-2.3%,1360000,1234000,-126000,-9.3%,1460000,1240000,-220000,-15.1%,1580000,1333000,-247000,-15.6%,4400000,3807000,-593000,-13.5%,8420000,7734000,-686000,-8.1%
COGS,Infrastructure & Hosting,153600,158400,4800,3.1%,160800,159600,-1200,-0.7%,168000,163200,-4800,-2.9%,482400,481200,-1200,-0.2%,163200,155800,-7400,-4.5%,175200,162100,-13100,-7.5%,189600,169200,-20400,-10.8%,528000,487100,-40900,-7.7%,1010400,968300,-42100,-4.2%
COGS,Customer Support Operations,115200,118700,3500,3.0%,120600,121300,700,0.6%,126000,124100,-1900,-1.5%,361800,364100,2300,0.6%,122400,117900,-4500,-3.7%,131400,124200,-7200,-5.5%,142200,128900,-13300,-9.4%,396000,371000,-25000,-6.3%,757800,735100,-22700,-3.0%
COGS,Professional Services Delivery,208000,196800,-11200,-5.4%,216000,209400,-6600,-3.1%,232000,217400,-14600,-6.3%,656000,623600,-32400,-4.9%,208000,188000,-20000,-9.6%,216000,183400,-32600,-15.1%,248000,209400,-38600,-15.6%,672000,580800,-91200,-13.6%,1328000,1204400,-123600,-9.3%
COGS,Total COGS,476800,473900,-2900,-0.6%,497400,490300,-7100,-1.4%,526000,504700,-21300,-4.0%,1500200,1468800,-31400,-2.1%,493600,461700,-31900,-6.5%,522600,469700,-52900,-10.1%,579800,507500,-72300,-12.5%,1596000,1438900,-157100,-9.8%,3096200,2907700,-188500,-6.1%
COGS,Gross Profit,803200,793100,-10100,-1.3%,842600,838700,-3900,-0.5%,874000,826300,-47700,-5.5%,2519800,2458200,-61600,-2.4%,866400,772300,-94100,-10.9%,937400,770300,-167100,-17.8%,1000200,825500,-174700,-17.5%,2804000,2368200,-435800,-15.5%,5323800,4826400,-497400,-9.3%
COGS,Gross Margin %,62.8%,62.6%,,0.0,62.9%,63.1%,,0.0,62.4%,62.1%,,0.0,62.7%,62.6%,,0.0,63.7%,62.6%,,0.0,64.2%,62.1%,,0.0,63.3%,61.9%,,0.0,63.7%,62.2%,,0.0,63.2%,62.4%,,0.0
OPEX,Sales & Marketing,448000,441200,-6800,-1.5%,469000,461700,-7300,-1.6%,490000,493400,3400,0.7%,1407000,1396300,-10700,-0.8%,476000,468200,-7800,-1.6%,511000,497400,-13600,-2.7%,553000,524800,-28200,-5.1%,1540000,1490400,-49600,-3.2%,2947000,2886700,-60300,-2.0%
OPEX,Research & Development,281600,279800,-1800,-0.6%,294800,291400,-3400,-1.2%,308000,306700,-1300,-0.4%,884400,877900,-6500,-0.7%,299200,294600,-4600,-1.5%,321200,313800,-7400,-2.3%,347600,339100,-8500,-2.4%,968000,947500,-20500,-2.1%,1852400,1825400,-27000,-1.5%
OPEX,General & Administrative,102400,104100,1700,1.7%,107200,108300,1100,1.0%,112000,113700,1700,1.5%,321600,326100,4500,1.4%,108800,107400,-1400,-1.3%,116800,114200,-2600,-2.2%,126400,123600,-2800,-2.2%,352000,345200,-6800,-1.9%,673600,671300,-2300,-0.3%
OPEX,Total Operating Expenses,832000,825100,-6900,-0.8%,871000,861400,-9600,-1.1%,910000,913800,3800,0.4%,2613000,2600300,-12700,-0.5%,884000,870200,-13800,-1.6%,949000,925400,-23600,-2.5%,1027000,987500,-39500,-3.8%,2860000,2783100,-76900,-2.7%,5473000,5383400,-89600,-1.6%
EBITDA,EBITDA,-28800,-32000,-3200,11.1%,-28400,-22700,5700,-20.1%,-36000,-87500,-51500,143.1%,-93200,-142100,-48900,52.5%,-17600,-97900,-80300,456.3%,-11600,-155100,-143500,1237.1%,-26800,-162000,-135200,504.5%,-56000,-415000,-359000,641.1%,-149200,-557100,-407900,273.4%
Root_Cause,Miss_Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root_Cause,Pipeline Conversion Rate (Americas SDR team restructure Feb 2026),-12.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root_Cause,EMEA Enterprise deal slippage (3 x $200K+ deals pushed to Q3),-8.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root_Cause,Net impact on H1 ARR: -$442K New ARR vs budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
