Account,Tier,CSM,Industry,ARR_USD,Health_Score,NPS,Renewal_Date,Days_To_Renewal,Last_QBR,Open_Action_Items,Overdue_Action_Items,Support_Tickets_Q1,Product_Usage_Pct,Exec_Sponsor_Engaged,Risk_Flag,Upsell_Opportunity,Status
Meridian Partners,Enterprise,Jordan Ellis,Financial Services,480000,28,"-18",2026-08-15,81,2026-02-10,7,4,14,31,No,RED - Exec disengaged + overdue actions,No,ESCALATE
Nexflow Systems,Enterprise,Jordan Ellis,SaaS / Tech,320000,34,"-5",2026-09-01,98,2026-02-28,5,3,9,44,No,RED - Low usage + sponsor change,No,ESCALATE
Steelbridge Manufacturing,Enterprise,Priya Nair,Manufacturing,290000,31,"12",2026-07-20,56,2026-01-30,6,3,11,38,Yes,RED - Integration stalled + renewal at risk,No,ESCALATE
Crestwood Capital,Enterprise,Jordan Ellis,Private Equity,410000,62,"28",2026-10-15,142,2026-03-15,3,1,4,72,Yes,AMBER - New CFO onboarding,Yes,MONITOR
Vantage Retail Group,Mid-Market,Priya Nair,Retail,180000,71,"41",2026-11-01,159,2026-03-20,2,0,3,81,Yes,AMBER - Competitor eval in progress,Yes,MONITOR
Hargrove Law,Mid-Market,Priya Nair,Legal,95000,78,"52",2026-12-01,189,2026-03-28,1,0,2,88,Yes,GREEN,No,MONITOR
Pinnacle Health Systems,Enterprise,Sam Torres,Healthcare,550000,81,"64",2027-01-15,234,2026-04-01,2,0,3,91,Yes,GREEN - Strong exec relationship,Yes,EXPAND
Thornton Media,Mid-Market,Sam Torres,Media & Publishing,140000,83,"47",2026-12-15,203,2026-04-05,1,0,1,87,Yes,GREEN,No,MONITOR
BlueSky Logistics,Mid-Market,Jordan Ellis,Logistics,175000,55,"18",2026-08-30,96,2026-01-20,4,2,7,59,No,AMBER - Champion left + new stakeholder,No,MONITOR
Redwood Analytics,SMB,Sam Torres,Data & Analytics,72000,74,"39",2026-10-30,157,2026-03-10,2,0,1,83,Yes,GREEN,Yes,EXPAND
Ironclad Defense,Enterprise,Priya Nair,Defense / Gov,620000,43,"7",2026-07-01,37,2026-02-05,8,5,12,48,No,AMBER - Procurement freeze + delayed rollout,No,MONITOR
Luminary Education,Mid-Market,Sam Torres,EdTech,110000,79,"55",2026-11-15,173,2026-04-08,1,0,0,94,Yes,GREEN,Yes,EXPAND
